1,770,263,249,195,0
2,768,262,250,195,0
3,767,261,251,195,0
4,766,260,252,195,0
5,764,260,254,194,0
6,763,259,255,195,0
7,762,258,255,195,0
8,760,258,257,194,0
9,759,257,258,194,0
10,758,256,259,194,0
11,757,256,260,194,0
12,756,255,260,194,0
13,755,254,260,195,0
14,755,254,260,194,0
15,754,253,260,195,0
16,754,253,260,194,0
17,753,252,260,195,0
18,753,252,260,194,0
19,752,251,260,195,0
20,751,250,260,195,0
21,751,250,260,195,0
22,750,249,260,195,0
23,750,249,260,195,0
24,749,248,260,195,0
25,749,248,260,195,0
26,748,247,260,195,0
27,748,247,260,195,0
28,749,248,260,195,0
29,751,249,260,195,0
30,752,250,260,195,0
31,754,251,260,195,0
32,755,252,260,195,0
33,757,253,260,195,0
34,759,254,260,195,0
35,760,255,260,195,0
36,762,256,260,195,0
37,763,257,260,195,0
38,765,258,260,195,0
39,767,260,260,195,0
40,767,260,260,195,0
41,767,261,260,195,0
42,767,261,260,195,0
43,767,262,260,195,0
44,767,262,260,195,0
45,767,263,260,195,0
46,767,263,260,195,0
47,767,264,260,195,0
48,767,264,260,195,0
49,767,265,260,195,0
50,768,266,260,195,0
51,766,265,260,195,0
52,765,265,260,195,0
53,764,265,260,195,0
54,763,265,260,195,0
55,762,264,260,195,0
56,761,264,260,195,0
57,760,264,260,195,0
58,759,264,260,195,0
59,757,263,260,195,0
60,756,263,260,195,0
61,755,263,260,195,0
62,754,263,260,195,0
63,753,262,260,195,0
64,752,262,260,195,0
65,751,262,260,195,0
66,750,262,260,195,0
67,748,261,260,195,0
68,747,261,260,195,0
69,746,261,260,195,0
70,745,261,260,195,0
71,744,260,260,195,0
72,743,260,260,195,0
73,742,260,260,195,0
74,741,260,260,195,0
75,740,260,260,195,0
76,739,260,260,195,0
77,739,260,260,195,0
78,739,260,260,195,0
79,738,260,260,195,0
80,738,260,260,195,0
81,738,260,260,195,0
82,737,260,260,195,0
83,737,260,260,195,0
84,737,260,260,195,0
85,737,260,260,195,0
86,736,260,260,195,0
87,736,260,260,195,0
88,736,260,260,195,0
89,735,260,260,195,0
90,735,260,260,195,0
91,735,260,260,195,0
92,735,260,260,195,0
93,736,259,258,194,0
94,737,259,257,193,0
95,738,258,256,193,0
96,739,258,255,192,0
97,740,258,253,191,0
98,741,257,252,190,0
99,742,257,251,189,0
100,743,256,250,189,0
101,744,256,248,188,0
102,745,256,247,187,0
